Equilibria,Player,Bid_for_v_0,Bid_for_v_1,Bid_for_v_2,Bid_for_v_3,Bid_for_v_4,Bid_for_v_5,Bid_for_v_6
1,Bidder_1,0,0,1,2,3,3,4
1,Bidder_2,0,0,1,2,2,4,4
1,Bidder_3,0,0,1,2,3,3,3
2,Bidder_1,0,0,1,2,2,4,4
2,Bidder_2,0,0,1,2,3,3,4
2,Bidder_3,0,0,1,2,3,3,3
3,Bidder_1,0,0,1,2,3,3,4
3,Bidder_2,0,0,1,2,3,3,3
3,Bidder_3,0,0,1,2,2,4,4
4,Bidder_1,0,0,1,2,3,3,3
4,Bidder_2,0,0,1,2,3,3,4
4,Bidder_3,0,0,1,2,2,4,4
5,Bidder_1,0,0,1,2,3,3,4
5,Bidder_2,0,0,1,2,3,3,4
5,Bidder_3,0,0,1,2,2,4,4
6,Bidder_1,0,0,1,2,2,4,4
6,Bidder_2,0,0,1,2,3,3,3
6,Bidder_3,0,0,1,2,3,3,4
7,Bidder_1,0,0,1,2,3,3,3
7,Bidder_2,0,0,1,2,2,4,4
7,Bidder_3,0,0,1,2,3,3,4
8,Bidder_1,0,0,1,2,3,3,4
8,Bidder_2,0,0,1,2,2,4,4
8,Bidder_3,0,0,1,2,3,3,4
9,Bidder_1,0,0,1,2,2,4,4
9,Bidder_2,0,0,1,2,3,3,4
9,Bidder_3,0,0,1,2,3,3,4
